questao_id,pergunta,resposta_esperada,resposta_numerica_esperada
Q1,"A biblioteca da escola recebeu novas doações de livros. Na segunda-feira, chegaram 273 livros. Na terça-feira, chegaram 319 livros. No total, quantos livros a biblioteca recebeu nestes dois dias?","Para saber o total, eu somei os livros dos dois dias: 273+319=592. A biblioteca recebeu um total de 592 livros.",592
Q2,"Em uma campanha de arrecadação de alimentos, o primeiro bairro doou 875 kg de alimentos e o segundo bairro doou 1.120 kg. Quantos quilos de alimentos foram arrecadados pelos dois bairros juntos?","Para encontrar o total arrecadado, somei as doações dos dois bairros: 875 kg+1.120 kg=1.995 kg. Foram arrecadados 1.995 kg de alimentos.",1995
Q3,Um fazendeiro plantou 5.300 pés de milho em uma safra e 6.150 pés de milho na safra seguinte. Quantos pés de milho ele plantou no total nas duas safras?,"Para saber o total de pés de milho plantados, somei os pés de milho de cada safra: 5.300+6.150=11.450. Ele plantou 11.450 pés de milho no total nas duas safras.",11450
Q4,"No zoológico, nasceram 43 filhotes de pássaros, 15 filhotes de macacos e 28 filhotes de leões. Quantos filhotes nasceram no total no zoológico?","Para calcular o total de filhotes nascidos, somei o número de filhotes de cada espécie: 43+15+28=86. Nasceram 86 filhotes no total no zoológico.",86
Q5,"Para organizar um evento, foram vendidos 2.345 ingressos online e 1.987 ingressos na bilheteria. Qual foi o número total de ingressos vendidos para o evento?","Para obter o número total de ingressos, somei os ingressos vendidos online e na bilheteria: 2.345+1.987=4.332. O número total de ingressos vendidos foi 4.332.",4332
Q6,Um atleta correu 7.500 metros em um dia e 6.800 metros no dia seguinte. Qual foi a distância total percorrida pelo atleta nesses dois dias?,"Para encontrar a distância total percorrida, somei a distância de cada dia: 7.500 metros+6.800 metros=14.300 metros. O atleta percorreu 14.300 metros no total.",14300
Q7,Uma empresa produziu 15.670 peças de um produto em janeiro e 18.905 peças em fevereiro. Qual foi a produção total da empresa nesses dois meses?,"Para calcular a produção total, somei as peças produzidas em janeiro e fevereiro: 15.670+18.905=34.575. A produção total da empresa nesses dois meses foi de 34.575 peças.",34575
Q8,"Em uma coleta de lixo reciclável, foram recolhidos 2.100 kg de papel, 1.550 kg de plástico e 890 kg de vidro. Quantos quilos de material reciclável foram recolhidos no total?","Para saber o total de material reciclável recolhido, somei as quantidades de cada material: 2.100 kg+1.550 kg+890 kg=4.540 kg. Foram recolhidos 4.540 kg de material reciclável no total.",4540
Q9,"Uma loja de eletrônicos vendeu 54 celulares na primeira semana, 78 na segunda semana e 92 na terceira semana. Quantos celulares a loja vendeu no total nessas três semanas?","Para encontrar o total de celulares vendidos, somei as vendas de cada semana: 54+78+92=224. A loja vendeu 224 celulares no total nessas três semanas.",224
Q10,Numa classe há 15 meninos e 13 meninas. Quantas crianças ao todo nessa classe?,"Para saber o total de crianças, somei o número de meninos e meninas: 15+13=28. Há 28 crianças ao todo nessa classe.",28
Q11,Uma escola funciona em dois turnos. No turno matutino há 1.407 alunos e no turno vespertino há 1.825 alunos. Quantos alunos estudam nessa escola?,"Para calcular o total de alunos que estudam na escola, somei os alunos do turno matutino e vespertino: 1.407+1.825=3.232. Estudam 3.232 alunos nessa escola.",3232
Q12,"De acordo com o censo realizado em 1991, o estado da Paraíba tem 1.546.042 homens e 1.654.578 mulheres. Qual é a população da Paraíba segundo esse censo?","Para determinar a população total da Paraíba, somei o número de homens e mulheres: 1.546.042+1.654.578=3.200.620. A população da Paraíba, segundo esse censo, é de 3.200.620 habitantes.",3200620
Q13,"Em uma fruteira, há 7 laranjas, 5 maçãs e 3 bananas. Quantas frutas há no total na fruteira?","Para saber o total de frutas, somei a quantidade de cada tipo de fruta: 7+5+3=15. Há 15 frutas no total na fruteira.",15
Q14,"No aquário de Ana, havia 18 peixes. Ela foi à loja e comprou mais 7 peixes. Com quantos peixes Ana ficou?","Para saber com quantos peixes Ana ficou, somei os peixes que ela já tinha com os que comprou: 18+7=25. Ana ficou com 25 peixes.",25
Q15,"Um ônibus partiu com 35 passageiros. Na primeira parada, subiram mais 12 pessoas. Quantos passageiros o ônibus tem agora?","Para calcular o total de passageiros, somei os passageiros iniciais com os que subiram na parada: 35+12=47. O ônibus tem 47 passageiros agora.",47
Q16,"Marta tinha R$ 45,00. Seu pai lhe deu mais R$ 20,00. Quanto dinheiro Marta tem?","Para saber quanto dinheiro Marta tem, somei o valor que ela já possuía com o que seu pai lhe deu: R$ 45,00+R$20,00=R$65,00. Marta tem R$ 65,00.",65
Q17,Uma biblioteca tinha 320 livros infantis. Eles adquiriram mais 85 livros novos. Quantos livros infantis a biblioteca possui agora?,"Para saber o total de livros infantis, somei os livros que a biblioteca já tinha com os que foram adquiridos: 320+85=405. A biblioteca possui 405 livros infantis agora.",405
Q18,"Em um estacionamento, há 15 carros brancos, 10 carros pretos e 5 carros vermelhos. Quantos carros há no total?","Em um estacionamento, há 15 carros brancos, 10 carros pretos e 5 carros vermelhos. Quantos carros há no total?",30
Q19,Uma equipe de basquete marcou 28 pontos no primeiro quarto e 35 pontos no segundo quarto. Quantos pontos a equipe marcou juntos nesses dois quartos?,Uma equipe de basquete marcou 28 pontos no primeiro quarto e 35 pontos no segundo quarto. Quantos pontos a equipe marcou juntos nesses dois quartos?,63
Q20,"Em uma fazenda, há 120 galinhas e 85 patos. Quantas aves há ao todo na fazenda?","Em uma fazenda, há 120 galinhas e 85 patos. Quantas aves há ao todo na fazenda?",205
