aluno_id,nome_aluno,questao_id,resposta_aluno
ALUNO_8_1,Estudante 1,Q1,O cálculo que fiz foi 456 + 1000 = 1450.
ALUNO_8_1,Estudante 1,Q2,O cálculo que fiz foi 456 + 1000 = 1450.
ALUNO_8_1,Estudante 1,Q3,"Eu somei, mas o resultado deu 123."
ALUNO_8_1,Estudante 1,Q4,"Para calcular o total de filhotes nascidos, somei o número de filhotes de cada espécie: 43+15+28=86. Nasceram 86 filhotes no total no zoológico."
ALUNO_8_1,Estudante 1,Q5,Não respondeu.
ALUNO_8_1,Estudante 1,Q6,"Para encontrar a distância total percorrida, somei a distância de cada dia: 7.500 metros+6.800 metros=14.300 metros. O atleta percorreu 14.300 metros no total."
ALUNO_8_1,Estudante 1,Q7,"Eu somei, mas o resultado deu 123."
ALUNO_8_1,Estudante 1,Q8,"Eu somei, mas o resultado deu 123."
ALUNO_8_1,Estudante 1,Q9,"Para encontrar o total de celulares vendidos, somei as vendas de cada semana: 54+78+92=224. A loja vendeu 224 celulares no total nessas três semanas."
ALUNO_8_1,Estudante 1,Q10,"Eu somei, mas o resultado deu 123."
ALUNO_8_1,Estudante 1,Q11,"Para calcular o total de alunos que estudam na escola, somei os alunos do turno matutino e vespertino: 1.407+1.825=3.232. Estudam 3.232 alunos nessa escola."
ALUNO_8_1,Estudante 1,Q12,"Para determinar a população total da Paraíba, somei o número de homens e mulheres: 1.546.042+1.654.578=3.200.620. A população da Paraíba, segundo esse censo, é de 3.200.620 habitantes."
ALUNO_8_1,Estudante 1,Q13,Não respondeu.
ALUNO_8_1,Estudante 1,Q14,"Não entendi a pergunta, achei que era para subtrair."
ALUNO_8_1,Estudante 1,Q15,"Para calcular o total de passageiros, somei os passageiros iniciais com os que subiram na parada: 35+12=47. O ônibus tem 47 passageiros agora."
ALUNO_8_1,Estudante 1,Q16,"Para saber quanto dinheiro Marta tem, somei o valor que ela já possuía com o que seu pai lhe deu: R$ 45,00+R$20,00=R$65,00. Marta tem R$ 65,00."
ALUNO_8_1,Estudante 1,Q17,Não respondeu.
ALUNO_8_1,Estudante 1,Q18,"Não entendi a pergunta, achei que era para subtrair."
ALUNO_8_1,Estudante 1,Q19,Uma equipe de basquete marcou 28 pontos no primeiro quarto e 35 pontos no segundo quarto. Quantos pontos a equipe marcou juntos nesses dois quartos?
ALUNO_8_1,Estudante 1,Q20,Achei que era um problema de divisão.
ALUNO_8_2,Estudante 2,Q1,"Para saber o total, eu somei os livros dos dois dias: 273+319=592. A biblioteca recebeu um total de 592 livros."
ALUNO_8_2,Estudante 2,Q2,"Para encontrar o total arrecadado, somei as doações dos dois bairros: 875 kg+1.120 kg=1.995 kg. Foram arrecadados 1.995 kg de alimentos."
ALUNO_8_2,Estudante 2,Q3,"Para saber o total de pés de milho plantados, somei os pés de milho de cada safra: 5.300+6.150=11.450. Ele plantou 11.450 pés de milho no total nas duas safras."
ALUNO_8_2,Estudante 2,Q4,"Não entendi a pergunta, achei que era para subtrair."
ALUNO_8_2,Estudante 2,Q5,"Para obter o número total de ingressos, somei os ingressos vendidos online e na bilheteria: 2.345+1.987=4.332. O número total de ingressos vendidos foi 4.332."
ALUNO_8_2,Estudante 2,Q6,"Para encontrar a distância total percorrida, somei a distância de cada dia: 7.500 metros+6.800 metros=14.300 metros. O atleta percorreu 14.300 metros no total."
ALUNO_8_2,Estudante 2,Q7,"Não entendi a pergunta, achei que era para subtrair."
ALUNO_8_2,Estudante 2,Q8,"Eu somei, mas o resultado deu 123."
ALUNO_8_2,Estudante 2,Q9,"Para encontrar o total de celulares vendidos, somei as vendas de cada semana: 54+78+92=224. A loja vendeu 224 celulares no total nessas três semanas."
ALUNO_8_2,Estudante 2,Q10,"Para saber o total de crianças, somei o número de meninos e meninas: 15+13=28. Há 28 crianças ao todo nessa classe."
ALUNO_8_2,Estudante 2,Q11,"Para calcular o total de alunos que estudam na escola, somei os alunos do turno matutino e vespertino: 1.407+1.825=3.232. Estudam 3.232 alunos nessa escola."
ALUNO_8_2,Estudante 2,Q12,Achei que era um problema de divisão.
ALUNO_8_2,Estudante 2,Q13,O cálculo que fiz foi 456 + 1000 = 1450.
